sace_code,name,department,municipio,localidad,zone,school_type,cycle,administration,enrollment_2024
010100021,10 DE SEPTIEMBRE,ATLÁNTIDA,LA CEIBA,RÍO MARÍA,RURAL,CENTRO DE EDUCACIÓN BÁSICA (C.E.B),BÁSICA I CICLO,GUBERNAMENTAL,151
010100157,10 DE SEPTIEMBRE,ATLÁNTIDA,LA CEIBA,LA CEIBA,URBANA,CENTRO DE EDUCACIÓN BÁSICA (C.E.B),BÁSICA I CICLO,GUBERNAMENTAL,306
010800004,14 DE JULIO,ATLÁNTIDA,ARIZONA,LA LEONA O KM. DOCE,RURAL,COMÚN,BÁSICA I CICLO,GUBERNAMENTAL,64
010100038,14 DE JULIO DE 1969,ATLÁNTIDA,LA CEIBA,URRACO,RURAL,COMÚN,BÁSICA I CICLO,GUBERNAMENTAL,44
010400010,15 DE SEPTIEMBRE,ATLÁNTIDA,JUTIAPA,ROMA,RURAL,CENTRO DE EDUCACIÓN BÁSICA (C.E.B),BÁSICA I CICLO,GUBERNAMENTAL,309
010600012,15 DE SEPTIEMBRE,ATLÁNTIDA,SAN FRANCISCO,MICELLY,URBANA,COMÚN,BÁSICA I CICLO,GUBERNAMENTAL,30
010700220,15 DE SEPTIEMBRE,ATLÁNTIDA,TELA,TELA,URBANA,CENTRO DE EDUCACIÓN COMUNITARIA (PROHECO),BÁSICA I CICLO,GUBERNAMENTAL,89
010600010,18 DE NOVIEMBRE,ATLÁNTIDA,SAN FRANCISCO,LAS CAMELIAS,RURAL,CENTRO DE EDUCACIÓN BÁSICA (C.E.B),BÁSICA I CICLO,GUBERNAMENTAL,77
010700043,18 DE NOVIEMBRE,ATLÁNTIDA,TELA,TELA,RURAL,COMÚN,BÁSICA I CICLO,GUBERNAMENTAL,46
010700159,3 DE OCTUBRE,ATLÁNTIDA,TELA,TELA,RURAL,CENTRO DE EDUCACIÓN BÁSICA (C.E.B),BÁSICA I CICLO,GUBERNAMENTAL,130
010400038,ABEL VILLACORTA CISNEROS,ATLÁNTIDA,JUTIAPA,SUBIRANA,RURAL,COMÚN,BÁSICA I CICLO,GUBERNAMENTAL,16
010200004,ABELARDO FORTIN,ATLÁNTIDA,EL PORVENIR,CAMPO SALADO BARRA,RURAL,COMÚN,BÁSICA I CICLO,GUBERNAMENTAL,50
010100036,ABRAHAM MEJIA ZERON,ATLÁNTIDA,LA CEIBA,EL PITAL,RURAL,COMÚN,BÁSICA I CICLO,GUBERNAMENTAL,73
010800056,ADOLFO ALFONSO PAGOADA SAYBE,ATLÁNTIDA,ARIZONA,MEZAPITA,RURAL,CENTRO DE EDUCACIÓN COMUNITARIA (PROHECO),BÁSICA I CICLO,GUBERNAMENTAL,46
010300036,ADRIAN KELLY,ATLÁNTIDA,ESPARTA,ESPARTA,RURAL,COMÚN,BÁSICA I CICLO,GUBERNAMENTAL,45
010400168,ADRIAN ORTIZ,ATLÁNTIDA,JUTIAPA,LOS OLANCHITOS,RURAL,CENTRO C. DE EDUCACIÓN PREBÁSICA (CCEPREB),PREBÁSICA,GUBERNAMENTAL,8
010700086,ADRIANA DE VALERIO,ATLÁNTIDA,TELA,COL. LOS LAURELES,RURAL,CENTRO C. DE EDUCACIÓN PREBÁSICA (CCEPREB),PREBÁSICA,GUBERNAMENTAL,132
010100108,ADVENTIST BILINGUAL CHRISTIAN SCHOOL,ATLÁNTIDA,LA CEIBA,LA CEIBA,URBANA,BILINGUE,PREBÁSICA,NO GUBERNAMENTAL,165
010100262,AGUAS OCAÑAS DE MADURO,ATLÁNTIDA,LA CEIBA,LA CEIBA,URBANA,CENTRO C. DE EDUCACIÓN PREBÁSICA (CCEPREB),PREBÁSICA,GUBERNAMENTAL,10
010400138,AIDA LUCINDA CALIX,ATLÁNTIDA,JUTIAPA,BERLÍN NO.1,RURAL,PROHECO,PREBÁSICA,GUBERNAMENTAL,14
010300109,ALBA LUCIA KELLY,ATLÁNTIDA,ESPARTA,ESPARTA,RURAL,CENTRO C. DE EDUCACIÓN PREBÁSICA (CCEPREB),PREBÁSICA,GUBERNAMENTAL,6
010500047,ALBA NORA GUNERA DE MELGAR,ATLÁNTIDA,LA MASICA,LA MASICA,URBANA,COMÚN,PREBÁSICA,GUBERNAMENTAL,62
010300095,ALEGRIA INFANTIL,ATLÁNTIDA,ESPARTA,LA GUADALUPE,RURAL,CENTRO C. DE EDUCACIÓN PREBÁSICA (CCEPREB),PREBÁSICA,GUBERNAMENTAL,5
